604,Dunukofia,26
605,Ekwusigo,26
606,Idemili North,26
607,Idemili south,26
608,Ihiala,26
609,Njikoka,26
610,Nnewi North,26
611,Nnewi South,26
612,Ogbaru,26
613,Onitsha North,26
614,Onitsha South,26
615,Orumba North,26
616,Orumba South,26
617,Oyi,26
618,Abak,27
619,Eastern Obolo,27
620,Eket,27
621,Esit Eket,27
622,Essien Udim,27
623,Etim Ekpo,27
624,Etinan,27
625,Ibeno,27
626,Ibesikpo Asutan,27
627,Ibiono Ibom,27
628,Ika,27
629,Ikono,27
630,Ikot Abasi,27
631,Ikot Ekpene,27
632,Ini,27
633,Itu,27
634,Mbo,27
635,Mkpat Enin,27
636,Nsit Atai,27
637,Nsit Ibom,27
638,Nsit Ubium,27
639,Obot Akara,27
640,Okobo,27
641,Onna,27
642,Oron,27
643,Oruk Anam,27
644,Udung Uko,27
645,Ukanafun,27
646,Uruan,27
647,Urue-Offong/Oruko,27
648,Uyo,27
649,Demsa,28
650,Fufore,28
651,Ganaye,28
652,Gireri,28
653,Gombi,28
654,Guyuk,28
655,Hong,28
656,Jada,28
657,Lamurde,28
658,Madagali,28
659,Maiha,28
660,Mayo-Belwa,28
661,Michika,28
662,Mubi North,28
663,Mubi South,28
664,Numan,28
665,Shelleng,28
666,Song,28
667,Toungo,28
668,Yola North,28
669,Yola South,28
670,Aba North,29
671,Aba South,29
672, Arochukwu,29
673, Bende,29
674, Ikwuano,29
675, Isiala-Ngwa North,29
676, Isiala-Ngwa South,29
677, Isuikwato,29
678, Obi Nwa,29
679, Ohafia,29
680, Osisioma,29
681, Ngwa,29
682, Ugwunagbo,29
683, Ukwa East,29
684, Ukwa West,29
685, Umuahia North,29
686, Umuahia South,29
687, Umu-Neochi,29
688,Afijio,30
689,Akinyele,30
690,Atiba,30
691,Atigbo,30
692,Egbeda,30
693,IbadanCentral,30
694,Ibadan North,30
695,Ibadan North West,30
696,Ibadan South East,30
697,Ibadan South West,30
698,Ibarapa Central,30
699,Ibarapa East,30
700,Ibarapa North,30
701,Ido,30
702,Irepo,30
703,Iseyin,30
704,Itesiwaju,30
705,Iwajowa,30
706,Kajola,30
707,Lagelu Ogbomosho North,30
708,Ogbmosho South,30
709,Ogo Oluwa,30
710,Olorunsogo,30
711,Oluyole,30
712,Ona-Ara,30
713,Orelope,30
714,Ori Ire,30
715,Oyo East,30
716,Oyo West,30
717,Saki East,30
718,Saki West,30
719,Surulere,30
720,Akwanga,31
721,Awe,31
722,Doma,31
723,Karu,31
724,Keana,31
725,Keffi,31
726,Kokona,31
727,Lafia,31
728,Nasarawa,31
729,Nasarawa-Eggon,31
730,Obi,31
731,Toto,31
732,Wamba ,31
733,Barikin Ladi,32
734,Bassa,32
735,Bokkos,32
736,Jos East,32
737,Jos North,32
738,Jos South,32
739,Kanam,32
740,Kanke,32
741,Langtang North,32
742,Langtang South,32
743,Mangu,32
744,Mikang,32
745,Pankshin,32
746,Qua an Pan,32
747,Riyom,32
748,Shendam,32
749,Wase,32
750,Abua/Odual,33
751,Ahoada East,33
752,Ahoada West,33
753,Akuku Toru,33
754,Andoni,33
755,Asari-Toru,33
756,Bonny,33
757,Degema,33
758,Emohua,33
759,Eleme,33
760,Etche,33
761,Gokana,33
762,Ikwerre,33
763,Khana,33
764,Obia/Akpor,33
765,Ogba/Egbema/Ndoni,33
766,Ogu/Bolo,33
767,Okrika,33
768,Omumma,33
769,Opobo/Nkoro,33
770,Oyigbo,33
771,Port-Harcourt,33
772,Tai,33
773,Binji,34
774,Bodinga,34
775,Dange-shnsi,34
776,Gada,34
777,Goronyo,34
778,Gudu,34
779,Gawabawa,34
780,Illela,34
781,Isa,34
782,Kware,34
783,kebbe,34
784,Rabah,34
785,Sabon birni,34
786,Shagari,34
787,Silame,34
788,Sokoto North,34
789,Sokoto South,34
790,Tambuwal,34
791,Tqngaza,34
792,Tureta,34
793,Wamako,34
794,Wurno,34
795,Yabo,34
796,Ardo-kola,35
797,Bali,35
798,Donga,35
799,Gashaka,35
800,Cassol,35
801,Ibi,35
802,Jalingo,35
803,Karin-Lamido,35
804,Kurmi,35
805,Lau,35
806,Sardauna,35
807,Takum,35
808,Ussa,35
809,Wukari,35
810,Yorro,35
811,Zin,35
812,Bade,36
813,Bursari,36
814,Damaturu,36
815,Fika,36
816,Fune,36
817,Geidam,36
818,Gujba,36
819,Gulani,36
820,Jakusko,36
821,Karasuwa,36
822,Karawa,36
823,Machina,36
824,Nangere,36
825,Nguru Potiskum,36
826,Tarmua,36
827,Yunusari,36
828,Yusufari,36
829,Anka,37
830,Bakura,37
831,Birnin Magaji/Kiyaw,37
832,Bukkuyum,37
833,Bungudu,37
834,Tsafe,37
835,Gummi,37
836,Gusau,37
837,Kaura Namoda,37
838,Maradun,37
839,Maru,37
840,Shinkafi,37
841,Talata Mafara,37
842,Zurmi,37
